H1,8,CentralVacuum,1334357051.23,1334357096.36
H1,16,Dryer,1334356037.29,1334356161.34
H1,32,PortableVacuum,1334356941.68,1334357017.28
H1,35,Toaster,1334356449.54,1334356503.49
H1,38,Washer,1334355866.99,1334355994.54
H1,1,BR1ClosetLight,1350943930.0,1350944002.6
H1,1,BR1ClosetLight,1350944050.71,1350944123.81
H1,1,BR1ClosetLight,1350944171.08,1350944242.85
H1,3,BR1Lights,1350943568.89,1350943641.99
H1,3,BR1Lights,1350943690.76,1350943761.19
H1,3,BR1Lights,1350943810.13,1350943883.9
H1,4,BR2ClosetLight,1350942849.5,1350942919.93
H1,4,BR2ClosetLight,1350942970.53,1350943041.8
H1,4,BR2ClosetLight,1350943090.41,1350943160.34
H1,5,BR2Lights,1350942488.55,1350942561.15
H1,5,BR2Lights,1350942609.75,1350942681.35
H1,5,BR2Lights,1350942729.46,1350942801.73
H1,6,BackyardLight,1350943211.11,1350943279.88
H1,6,BackyardLight,1350943330.15,1350943401.92
H1,6,BackyardLight,1350943449.69,1350943520.46
H1,10,DiningRoomLights,1350944650.07,1350944721.17
H1,10,DiningRoomLights,1350944772.1,1350944841.04
H1,10,DiningRoomLights,1350944889.98,1350944962.58
H1,12,DownstairsBathroomFan,1350941770.14,1350941840.08
H1,12,DownstairsBathroomFan,1350941890.35,1350941960.11
H1,12,DownstairsBathroomFan,1350942010.22,1350942082.32
H1,13,DownstairsBathroomFanLights,1350942130.26,1350942201.02
H1,13,DownstairsBathroomFanLights,1350942249.3,1350942321.06
H1,13,DownstairsBathroomFanLights,1350942370.83,1350942441.27
H1,14,DownstairsBathroomLights,1350941409.69,1350941480.46
H1,14,DownstairsBathroomLights,1350941530.9,1350941600.17
H1,14,DownstairsBathroomLights,1350941649.44,1350941720.2
H1,15,DownstairsHallwayLights,1350940272.41,1350940342.51
H1,15,DownstairsHallwayLights,1350940377.96,1350940465.88
H1,15,DownstairsHallwayLights,1350940512.48,1350940582.92
H1,18,GRLights,1350944290.95,1350944360.05
H1,18,GRLights,1350944411.16,1350944480.92
H1,18,GRLights,1350944530.86,1350944602.46
H1,22,KitchenLights,1350945010.02,1350945080.45
H1,22,KitchenLights,1350945130.05,1350945200.66
H1,22,KitchenLights,1350945250.26,1350945320.36
H1,23,KitchenUnderCabinetLights,1350945369.47,1350945440.23
H1,23,KitchenUnderCabinetLights,1350945491.0,1350945560.11
H1,23,KitchenUnderCabinetLights,1350945610.54,1350945680.48
H1,24,MasterBAHeatLamp,1350948248.07,1350948319.5
H1,24,MasterBAHeatLamp,1350948369.61,1350948445.54
H1,24,MasterBAHeatLamp,1350948490.31,1350948560.25
H1,25,MasterBALights,1350948009.32,1350948080.76
H1,25,MasterBALights,1350948129.53,1350948202.13
H1,26,MasterBREntryLights,1350946810.43,1350946880.36
H1,26,MasterBREntryLights,1350946928.97,1350947001.73
H1,26,MasterBREntryLights,1350947050.17,1350947121.61
H1,27,MasterBRLights,1350947169.88,1350947240.15
H1,27,MasterBRLights,1350947290.25,1350947361.02
H1,27,MasterBRLights,1350947409.96,1350947481.39
H1,28,MasterBRWalk-inClosetLights,1350947529.66,1350947600.93
H1,28,MasterBRWalk-inClosetLights,1350947651.7,1350947723.63
H1,28,MasterBRWalk-inClosetLights,1350947772.57,1350947840.51
H1,29,OutsideFrontDoorLights,1350939912.12,1350939983.06
H1,29,OutsideFrontDoorLights,1350940081.28,1350940102.93
H1,29,OutsideFrontDoorLights,1350940152.2,1350940223.14
H1,30,OutsideOverGarageLights,1350939537.86,1350939609.12
H1,30,OutsideOverGarageLights,1350939657.89,1350939730.99
H1,30,OutsideOverGarageLights,1350939778.77,1350939849.03
H1,31,OverSinkLight,1350945726.09,1350945800.85
H1,31,OverSinkLight,1350945849.12,1350945922.72
H1,31,OverSinkLight,1350945971.66,1350946040.26
H1,33,PowderRmLights,1350946094.69,1350946160.63
H1,33,PowderRmLights,1350946208.9,1350946280.17
H1,33,PowderRmLights,1350946330.61,1350946401.71
H1,34,StairwayLights,1350940632.52,1350940702.62
H1,34,StairwayLights,1350940801.01,1350940822.66
H1,34,StairwayLights,1350940872.6,1350940943.2
H1,37,UpstairsHallwayLights,1350946450.81,1350946519.92
